Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,PE Ratio TTM,EPS Forecast Next Qtr
BACRP,Bank of America Corp.,302.0,USD,0.003311367926087256,10,1.3157894736842106,336084037238.0,USD,Finance,,253.38095353094454,243.12298345482446,235.4154353702971,0,33.6283185840708,78.99968609396254,0.996228
AMD,"Advanced Micro Devices, Inc.",205.27,USD,2.9128647347839176,32032764,1.1043250566709817,334674454383.0405,USD,Electronic technology,Strong buy,205.01033580609894,208.0115696092363,206.45239425091458,5.280164123605599,1.5459200079151103,77.6126739261948,1.271093
HD,"Home Depot, Inc. (The)",328.21,USD,-0.8219260870879119,3730970,1.0789952012813626,326736813849.99304,USD,Retail trade,Strong buy,357.903880019545,362.9602323108123,366.9570506181674,-4.155472491531369,-16.32205593656784,23.056226818028545,3.403373
KO,Coca-Cola Company (The),75.55,USD,-0.5528498091351872,12989765,0.9285307462821678,324919638790.27246,USD,Consumer non-durables,Strong buy,76.7438469013225,75.69188598081162,74.29370283084427,-3.1410256410256445,-4.354981643245978,24.864242224781965,0.814027
CAT,"Caterpillar, Inc.",688.65,USD,-0.7165306652057362,2236503,0.8949620845109583,320420133743.30334,USD,Producer manufacturing,Buy,694.9071301505508,674.7546706418933,638.4247237433079,-2.3703871726895143,-9.980392156862747,36.578758664648234,4.574229
RHHBF,Roche Holding Ltd,400.0,USD,-6.755559699752907,1,0.03194888178913738,312756223701.1208,USD,Health technology,Buy,443.83140560556944,438.5347142894133,425.0089997461543,-6.976744186046512,-20.00159996800064,19.769947148397307,13.572164700000002
PCCYF,"PetroChina Co., Ltd.",1.36,USD,1.492537313432837,226264,1.3960614068590036,312704535761.3435,USD,Energy minerals,Strong buy,1.257257705767204,1.2083153322717597,1.1531242231013763,0.7407407407407414,17.241379310344843,11.32019388995032,0.02192048568
CSCO,"Cisco Systems, Inc.",78.51,USD,1.172680412371148,17483730,0.901977895659573,310106098545.7508,USD,Electronic technology,Strong buy,78.43995953507742,77.81518607049483,76.45643171283022,-0.5195134313228542,2.027290448343083,27.617138032925286,1.034287
GE,GE Aerospace,291.61,USD,-3.1067251461988192,7104789,1.3687338159998728,305844524814.1934,USD,Electronic technology,Strong buy,312.56677664482896,312.3659688506942,307.47500567202303,-4.003028607169888,-7.425396825396821,35.82960633017153,1.57633
RHHVF,Roche Holding Ltd,371.06,USD,-3.678322041377882,742,0.02570729713062217,296026726386.0544,USD,Health technology,Buy,428.5797558873933,426.47497699808315,414.1893827475091,-9.416919940923014,-24.32443456447698,18.33959147221076,13.572164700000002
AZN,AstraZeneca PLC,188.93,USD,0.2706719031950002,1468873,0.9341799639295223,292996239739.15796,USD,Health technology,Strong buy,193.40285967858344,190.94895753181325,185.75401228598497,-0.9852733085268043,-9.211917347429114,28.14518519111756,2.508319
LRCX,Lam Research Corporation,233.99,USD,4.129767255573851,10053242,0.9786353842634752,292199934105.98035,USD,Producer manufacturing,Strong buy,221.10145534128148,212.81688661180945,197.3730701091205,7.359486120669888,1.0974292503780603,47.955649375935074,1.347737
NVSEF,Novartis AG,150.1925,USD,-0.43916343508666894,90170,0.507890982273664,285847513710.7566,USD,Health technology,Buy,156.127104344339,152.14845364430664,146.28058157371655,-1.9118991640543421,-7.001547987616102,19.973847369269322,2.106196
AMAT,"Applied Materials, Inc.",357.21,USD,2.2147823847540424,6403573,1.0860346742233309,283485380253.2603,USD,Producer manufacturing,Strong buy,340.69181364266984,325.4331492085872,302.1195075478212,2.735116479723897,1.7692307692307634,36.58888843364608,2.661398
MRK,"Merck & Company, Inc.",114.2,USD,-0.26200873362445165,8348463,1.0195365862359032,282347176660.0471,USD,Health technology,Strong buy,115.78674474505813,113.09199901485917,108.48550969828489,-0.9883821744407841,-6.665032078787137,15.697378730189277,-1.509503
CTATF,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,85.0,USD,7.59493670886076,291,0.410321489001692,279029663046.4643,USD,Producer manufacturing,Strong buy,71.9473808514189,69.44498275926394,66.61255806239524,0,25.76755197159134,38.22976358310314,0.5347959767
HBCYF,HSBC Holdings Plc,16.1,USD,0.78247261345854,774,0.18917267505804716,276521367947.7754,USD,Finance,Buy,16.49965389598626,16.311087774405742,15.80272677103743,3.205128205128217,-5.847953216374268,13.089499002271232,0.437519
TOYOF,Toyota Motor Corp.,20.85,USD,-0.9971509971509844,19014,0.41699471683878797,271746194531.25003,USD,Consumer durables,Strong buy,22.436611840559486,22.359458862866546,21.922374577263753,-8.149779735682811,-13.088786994581065,11.528444994480102,0.30889974941900006
RTX,RTX Corporation,200.73,USD,-1.8723113023073976,5316634,0.9950023004344988,269437386261.34265,USD,Electronic technology,Buy,201.3229175586355,197.30668402636402,190.49304812297535,-1.9442137658150642,0.3649999999999949,40.450185394164116,1.49475
